customer_id,name,city,signup_date,total_orders,last_order_date,support_tickets,avg_review_rating,total_spent_pkr,preferred_category,used_coupon_last_order,churned
C1001,Omar Ahmed,Karachi,2024-06-02,2,2026-04-08,0,5.0,21906,Accessories,No,No
C1002,Hira Butt,Rawalpindi,2025-01-30,4,2025-10-17,0,3.2,23667,Accessories,No,No
C1003,Ali Malik,Peshawar,2025-07-18,2,2026-04-12,4,3.7,7998,Home Appliances,No,No
C1004,Mahnoor Sheikh,Hyderabad,2026-02-24,10,2026-04-26,0,3.6,162245,Home Appliances,Yes,No
C1005,Bilal Butt,Faisalabad,2026-04-11,7,2026-04-12,0,3.7,57084,Home Appliances,No,No
C1006,Rabia Ahmed,Sialkot,2024-09-19,1,2025-07-23,0,3.2,16844,Kitchen Appliances,Yes,Yes
C1007,Ahsan Khan,Rawalpindi,2024-03-12,1,2026-02-20,1,5.0,11291,Kitchen Appliances,No,No
C1008,Mehwish Hussain,Quetta,2026-02-05,2,2026-05-29,2,2.5,18281,Accessories,No,No
C1009,Hamza Qureshi,Quetta,2026-03-30,6,2026-04-12,0,2.8,54261,Smartphones,No,No
C1010,Sidra Qureshi,Faisalabad,2024-12-12,7,2026-07-26,2,5.0,98970,Kitchen Appliances,No,No
C1011,Komal Malik,Quetta,2026-06-28,10,2026-07-15,5,4.0,41494,Kitchen Appliances,No,No
C1012,Shahid Chaudhry,Rawalpindi,2026-01-26,2,2026-06-20,1,4.1,5018,Home Appliances,No,No
C1013,Iqra Raza,Rawalpindi,2026-05-03,2,2026-05-20,4,4.8,7146,Accessories,Yes,No
C1014,Farhan Qureshi,Islamabad,2025-10-03,3,2025-12-27,5,5.0,39579,Kitchen Appliances,No,No
C1015,Bilqees Iqbal,Quetta,2025-01-18,3,2026-03-27,0,3.3,18200,Laptops,Yes,Yes
C1016,Omar Khan,Rawalpindi,2026-04-23,8,2026-06-19,0,4.0,46565,Laptops,No,No
C1017,Farhan Hussain,Rawalpindi,2026-03-27,1,2026-06-06,0,2.4,3340,Kitchen Appliances,Yes,No
C1018,Mahnoor Iqbal,Lahore,2025-10-20,1,2025-10-30,1,3.3,6372,Smartphones,No,No
C1019,Yusra Ahmed,Karachi,2024-09-02,15,2026-07-24,5,5.0,76167,Audio,No,No
